asset_id,source_asset_id,asset_type,asset_status,demo_baseline_status,mission_criticality,service_age,total_operating_hours,maintenance_count,previous_failure_count,last_maintenance_cycle,source_dataset
AC-003,3,Turbofan-A,pending_model,non_ready,high,7,179,1,1,89,NASA C-MAPSS FD001 (train)
AC-004,4,Turbofan-A,pending_model,non_ready,medium,8,189,1,1,17,NASA C-MAPSS FD001 (train)
AC-006,6,Turbofan-A,pending_model,non_ready,low,6,188,0,1,105,NASA C-MAPSS FD001 (train)
AC-007,7,Turbofan-A,pending_model,ready,medium,8,259,1,1,207,NASA C-MAPSS FD001 (train)
AC-012,12,Turbofan-A,pending_model,non_ready,low,3,170,3,1,38,NASA C-MAPSS FD001 (train)
AC-013,13,Turbofan-A,pending_model,non_ready,medium,10,163,4,1,16,NASA C-MAPSS FD001 (train)
AC-017,17,Turbofan-A,pending_model,ready,medium,4,276,1,1,199,NASA C-MAPSS FD001 (train)
AC-018,18,Turbofan-A,pending_model,watch,medium,5,195,0,1,34,NASA C-MAPSS FD001 (train)
AC-021,21,Turbofan-A,pending_model,watch,medium,5,195,0,1,172,NASA C-MAPSS FD001 (train)
AC-027,27,Turbofan-A,pending_model,non_ready,low,6,156,2,1,8,NASA C-MAPSS FD001 (train)
AC-029,29,Turbofan-A,pending_model,non_ready,high,4,163,1,1,87,NASA C-MAPSS FD001 (train)
AC-031,31,Turbofan-A,pending_model,ready,medium,4,234,2,1,127,NASA C-MAPSS FD001 (train)
AC-033,33,Turbofan-A,pending_model,watch,medium,9,200,3,1,117,NASA C-MAPSS FD001 (train)
AC-034,34,Turbofan-A,pending_model,watch,high,3,195,4,1,188,NASA C-MAPSS FD001 (train)
AC-038,38,Turbofan-A,pending_model,watch,low,8,194,2,1,129,NASA C-MAPSS FD001 (train)
AC-040,40,Turbofan-A,pending_model,non_ready,low,9,188,4,1,13,NASA C-MAPSS FD001 (train)
AC-043,43,Turbofan-A,pending_model,watch,high,4,207,2,1,125,NASA C-MAPSS FD001 (train)
AC-045,45,Turbofan-A,pending_model,non_ready,medium,2,158,1,1,130,NASA C-MAPSS FD001 (train)
AC-046,46,Turbofan-A,pending_model,ready,high,7,256,5,1,241,NASA C-MAPSS FD001 (train)
AC-048,48,Turbofan-A,pending_model,ready,medium,4,231,0,1,44,NASA C-MAPSS FD001 (train)
AC-050,50,Turbofan-A,pending_model,watch,medium,3,198,1,1,112,NASA C-MAPSS FD001 (train)
AC-051,51,Turbofan-A,pending_model,watch,high,5,213,6,1,58,NASA C-MAPSS FD001 (train)
AC-059,59,Turbofan-A,pending_model,ready,low,11,231,1,1,161,NASA C-MAPSS FD001 (train)
AC-061,61,Turbofan-A,pending_model,non_ready,medium,3,185,1,1,151,NASA C-MAPSS FD001 (train)
AC-064,64,Turbofan-A,pending_model,ready,low,10,283,0,1,29,NASA C-MAPSS FD001 (train)
AC-067,67,Turbofan-A,pending_model,ready,high,5,313,2,1,103,NASA C-MAPSS FD001 (train)
AC-068,68,Turbofan-A,pending_model,watch,low,10,199,1,1,37,NASA C-MAPSS FD001 (train)
AC-069,69,Turbofan-A,pending_model,ready,low,3,362,2,1,165,NASA C-MAPSS FD001 (train)
AC-075,75,Turbofan-A,pending_model,ready,medium,4,229,7,1,166,NASA C-MAPSS FD001 (train)
AC-076,76,Turbofan-A,pending_model,watch,low,5,210,1,1,148,NASA C-MAPSS FD001 (train)
AC-077,77,Turbofan-A,pending_model,non_ready,high,6,154,2,1,58,NASA C-MAPSS FD001 (train)
AC-080,80,Turbofan-A,pending_model,non_ready,high,6,185,2,1,12,NASA C-MAPSS FD001 (train)
AC-082,82,Turbofan-A,pending_model,watch,medium,3,214,3,1,81,NASA C-MAPSS FD001 (train)
AC-089,89,Turbofan-A,pending_model,ready,high,3,217,3,1,192,NASA C-MAPSS FD001 (train)
AC-090,90,Turbofan-A,pending_model,non_ready,medium,5,154,2,1,5,NASA C-MAPSS FD001 (train)
AC-092,92,Turbofan-A,pending_model,ready,medium,11,341,0,1,315,NASA C-MAPSS FD001 (train)
AC-095,95,Turbofan-A,pending_model,ready,high,8,283,2,1,73,NASA C-MAPSS FD001 (train)
AC-097,97,Turbofan-A,pending_model,watch,high,1,202,1,1,181,NASA C-MAPSS FD001 (train)
