asset_id,cycle,component,health_score_proxy,risk_score_proxy,degradation_state_proxy,remaining_useful_life,failure_within_30_cycles
AC-003,1,engine_hpc,0.994,0.0,healthy,178,0
AC-003,2,engine_hpc,0.989,0.0,healthy,177,0
AC-003,3,engine_hpc,0.983,0.0,healthy,176,0
AC-003,4,engine_hpc,0.978,0.0,healthy,175,0
AC-003,5,engine_hpc,0.972,0.001,healthy,174,0
AC-003,6,engine_hpc,0.966,0.001,healthy,173,0
AC-003,7,engine_hpc,0.961,0.002,healthy,172,0
AC-003,8,engine_hpc,0.955,0.002,healthy,171,0
AC-003,9,engine_hpc,0.95,0.003,healthy,170,0
AC-003,10,engine_hpc,0.944,0.003,healthy,169,0
AC-003,11,engine_hpc,0.939,0.004,healthy,168,0
AC-003,12,engine_hpc,0.933,0.004,healthy,167,0
AC-003,13,engine_hpc,0.927,0.005,healthy,166,0
AC-003,14,engine_hpc,0.922,0.006,healthy,165,0
AC-003,15,engine_hpc,0.916,0.007,healthy,164,0
AC-003,16,engine_hpc,0.911,0.008,healthy,163,0
AC-003,17,engine_hpc,0.905,0.009,healthy,162,0
AC-003,18,engine_hpc,0.899,0.01,healthy,161,0
AC-003,19,engine_hpc,0.894,0.011,healthy,160,0
AC-003,20,engine_hpc,0.888,0.012,healthy,159,0
AC-003,21,engine_hpc,0.883,0.014,healthy,158,0
AC-003,22,engine_hpc,0.877,0.015,healthy,157,0
AC-003,23,engine_hpc,0.872,0.017,healthy,156,0
AC-003,24,engine_hpc,0.866,0.018,healthy,155,0
AC-003,25,engine_hpc,0.86,0.02,healthy,154,0
AC-003,26,engine_hpc,0.855,0.021,healthy,153,0
AC-003,27,engine_hpc,0.849,0.023,healthy,152,0
AC-003,28,engine_hpc,0.844,0.024,healthy,151,0
AC-003,29,engine_hpc,0.838,0.026,healthy,150,0
AC-003,30,engine_hpc,0.832,0.028,healthy,149,0
AC-003,31,engine_hpc,0.827,0.03,healthy,148,0
AC-003,32,engine_hpc,0.821,0.032,healthy,147,0
AC-003,33,engine_hpc,0.816,0.034,healthy,146,0
AC-003,34,engine_hpc,0.81,0.036,healthy,145,0
AC-003,35,engine_hpc,0.804,0.038,healthy,144,0
AC-003,36,engine_hpc,0.799,0.04,healthy,143,0
AC-003,37,engine_hpc,0.793,0.043,healthy,142,0
AC-003,38,engine_hpc,0.788,0.045,healthy,141,0
AC-003,39,engine_hpc,0.782,0.047,healthy,140,0
AC-003,40,engine_hpc,0.777,0.05,healthy,139,0
AC-003,41,engine_hpc,0.771,0.052,healthy,138,0
AC-003,42,engine_hpc,0.765,0.055,healthy,137,0
AC-003,43,engine_hpc,0.76,0.058,healthy,136,0
AC-003,44,engine_hpc,0.754,0.06,healthy,135,0
AC-003,45,engine_hpc,0.749,0.063,healthy,134,0
AC-003,46,engine_hpc,0.743,0.066,healthy,133,0
AC-003,47,engine_hpc,0.737,0.069,healthy,132,0
AC-003,48,engine_hpc,0.732,0.072,healthy,131,0
AC-003,49,engine_hpc,0.726,0.075,healthy,130,0
AC-003,50,engine_hpc,0.721,0.078,healthy,129,0
AC-003,51,engine_hpc,0.715,0.081,healthy,128,0
AC-003,52,engine_hpc,0.709,0.084,healthy,127,0
AC-003,53,engine_hpc,0.704,0.088,healthy,126,0
AC-003,54,engine_hpc,0.698,0.091,healthy,125,0
AC-003,55,engine_hpc,0.693,0.094,healthy,124,0
AC-003,56,engine_hpc,0.687,0.098,healthy,123,0
AC-003,57,engine_hpc,0.682,0.101,healthy,122,0
AC-003,58,engine_hpc,0.676,0.105,healthy,121,0
AC-003,59,engine_hpc,0.67,0.109,healthy,120,0
AC-003,60,engine_hpc,0.665,0.112,healthy,119,0
AC-003,61,engine_hpc,0.659,0.116,healthy,118,0
AC-003,62,engine_hpc,0.654,0.12,healthy,117,0
AC-003,63,engine_hpc,0.648,0.124,healthy,116,0
AC-003,64,engine_hpc,0.642,0.128,healthy,115,0
AC-003,65,engine_hpc,0.637,0.132,healthy,114,0
AC-003,66,engine_hpc,0.631,0.136,healthy,113,0
AC-003,67,engine_hpc,0.626,0.14,healthy,112,0
AC-003,68,engine_hpc,0.62,0.144,healthy,111,0
AC-003,69,engine_hpc,0.615,0.149,healthy,110,0
AC-003,70,engine_hpc,0.609,0.153,healthy,109,0
AC-003,71,engine_hpc,0.603,0.157,healthy,108,0
AC-003,72,engine_hpc,0.598,0.162,healthy,107,0
AC-003,73,engine_hpc,0.592,0.166,healthy,106,0
AC-003,74,engine_hpc,0.587,0.171,healthy,105,0
AC-003,75,engine_hpc,0.581,0.176,healthy,104,0
AC-003,76,engine_hpc,0.575,0.18,healthy,103,0
AC-003,77,engine_hpc,0.57,0.185,healthy,102,0
AC-003,78,engine_hpc,0.564,0.19,healthy,101,0
AC-003,79,engine_hpc,0.559,0.195,healthy,100,0
AC-003,80,engine_hpc,0.553,0.2,healthy,99,0
AC-003,81,engine_hpc,0.547,0.205,healthy,98,0
AC-003,82,engine_hpc,0.542,0.21,healthy,97,0
AC-003,83,engine_hpc,0.536,0.215,healthy,96,0
AC-003,84,engine_hpc,0.531,0.22,healthy,95,0
AC-003,85,engine_hpc,0.525,0.225,healthy,94,0
AC-003,86,engine_hpc,0.52,0.231,healthy,93,0
AC-003,87,engine_hpc,0.514,0.236,healthy,92,0
AC-003,88,engine_hpc,0.508,0.242,healthy,91,0
AC-003,89,engine_hpc,0.503,0.247,healthy,90,0
AC-003,90,engine_hpc,0.497,0.253,degraded,89,0
AC-003,91,engine_hpc,0.492,0.258,degraded,88,0
AC-003,92,engine_hpc,0.486,0.264,degraded,87,0
AC-003,93,engine_hpc,0.48,0.27,degraded,86,0
AC-003,94,engine_hpc,0.475,0.276,degraded,85,0
AC-003,95,engine_hpc,0.469,0.282,degraded,84,0
AC-003,96,engine_hpc,0.464,0.288,degraded,83,0
AC-003,97,engine_hpc,0.458,0.294,degraded,82,0
AC-003,98,engine_hpc,0.453,0.3,degraded,81,0
AC-003,99,engine_hpc,0.447,0.306,degraded,80,0
AC-003,100,engine_hpc,0.441,0.312,degraded,79,0
AC-003,101,engine_hpc,0.436,0.318,degraded,78,0
AC-003,102,engine_hpc,0.43,0.325,degraded,77,0
AC-003,103,engine_hpc,0.425,0.331,degraded,76,0
AC-003,104,engine_hpc,0.419,0.338,degraded,75,0
AC-003,105,engine_hpc,0.413,0.344,degraded,74,0
AC-003,106,engine_hpc,0.408,0.351,degraded,73,0
AC-003,107,engine_hpc,0.402,0.357,degraded,72,0
AC-003,108,engine_hpc,0.397,0.364,degraded,71,0
AC-003,109,engine_hpc,0.391,0.371,degraded,70,0
AC-003,110,engine_hpc,0.385,0.378,degraded,69,0
AC-003,111,engine_hpc,0.38,0.385,degraded,68,0
AC-003,112,engine_hpc,0.374,0.391,degraded,67,0
AC-003,113,engine_hpc,0.369,0.399,degraded,66,0
AC-003,114,engine_hpc,0.363,0.406,degraded,65,0
AC-003,115,engine_hpc,0.358,0.413,degraded,64,0
AC-003,116,engine_hpc,0.352,0.42,degraded,63,0
AC-003,117,engine_hpc,0.346,0.427,degraded,62,0
AC-003,118,engine_hpc,0.341,0.435,degraded,61,0
AC-003,119,engine_hpc,0.335,0.442,degraded,60,0
AC-003,120,engine_hpc,0.33,0.449,degraded,59,0
AC-003,121,engine_hpc,0.324,0.457,degraded,58,0
AC-003,122,engine_hpc,0.318,0.465,degraded,57,0
AC-003,123,engine_hpc,0.313,0.472,degraded,56,0
AC-003,124,engine_hpc,0.307,0.48,degraded,55,0
AC-003,125,engine_hpc,0.302,0.488,degraded,54,0
AC-003,126,engine_hpc,0.296,0.495,degraded,53,0
AC-003,127,engine_hpc,0.291,0.503,degraded,52,0
AC-003,128,engine_hpc,0.285,0.511,degraded,51,0
AC-003,129,engine_hpc,0.279,0.519,degraded,50,0
AC-003,130,engine_hpc,0.274,0.527,degraded,49,0
AC-003,131,engine_hpc,0.268,0.536,degraded,48,0
AC-003,132,engine_hpc,0.263,0.544,degraded,47,0
AC-003,133,engine_hpc,0.257,0.552,degraded,46,0
AC-003,134,engine_hpc,0.251,0.56,degraded,45,0
AC-003,135,engine_hpc,0.246,0.569,degraded,44,0
AC-003,136,engine_hpc,0.24,0.577,degraded,43,0
AC-003,137,engine_hpc,0.235,0.586,degraded,42,0
AC-003,138,engine_hpc,0.229,0.594,degraded,41,0
AC-003,139,engine_hpc,0.223,0.603,degraded,40,0
AC-003,140,engine_hpc,0.218,0.612,degraded,39,0
AC-003,141,engine_hpc,0.212,0.62,degraded,38,0
AC-003,142,engine_hpc,0.207,0.629,degraded,37,0
AC-003,143,engine_hpc,0.201,0.638,degraded,36,0
AC-003,144,engine_hpc,0.196,0.647,degraded,35,0
AC-003,145,engine_hpc,0.19,0.656,degraded,34,0
AC-003,146,engine_hpc,0.184,0.665,degraded,33,0
AC-003,147,engine_hpc,0.179,0.674,degraded,32,0
AC-003,148,engine_hpc,0.173,0.684,degraded,31,0
AC-003,149,engine_hpc,0.168,0.693,degraded,30,1
AC-003,150,engine_hpc,0.162,0.702,degraded,29,1
AC-003,151,engine_hpc,0.156,0.712,degraded,28,1
AC-003,152,engine_hpc,0.151,0.721,degraded,27,1
AC-003,153,engine_hpc,0.145,0.731,severe,26,1
AC-003,154,engine_hpc,0.14,0.74,severe,25,1
AC-003,155,engine_hpc,0.134,0.75,severe,24,1
AC-003,156,engine_hpc,0.128,0.76,severe,23,1
AC-003,157,engine_hpc,0.123,0.769,severe,22,1
AC-003,158,engine_hpc,0.117,0.779,severe,21,1
AC-003,159,engine_hpc,0.112,0.789,severe,20,1
AC-003,160,engine_hpc,0.106,0.799,severe,19,1
AC-003,161,engine_hpc,0.101,0.809,severe,18,1
AC-003,162,engine_hpc,0.095,0.819,severe,17,1
AC-003,163,engine_hpc,0.089,0.829,severe,16,1
AC-003,164,engine_hpc,0.084,0.839,severe,15,1
AC-003,165,engine_hpc,0.078,0.85,severe,14,1
AC-003,166,engine_hpc,0.073,0.86,severe,13,1
AC-003,167,engine_hpc,0.067,0.87,severe,12,1
AC-003,168,engine_hpc,0.061,0.881,severe,11,1
AC-003,169,engine_hpc,0.056,0.891,severe,10,1
AC-003,170,engine_hpc,0.05,0.902,severe,9,1
AC-003,171,engine_hpc,0.045,0.913,severe,8,1
AC-003,172,engine_hpc,0.039,0.923,severe,7,1
AC-003,173,engine_hpc,0.034,0.934,severe,6,1
AC-003,174,engine_hpc,0.028,0.945,severe,5,1
AC-003,175,engine_hpc,0.022,0.956,severe,4,1
AC-003,176,engine_hpc,0.017,0.967,severe,3,1
AC-003,177,engine_hpc,0.011,0.978,severe,2,1
AC-003,178,engine_hpc,0.006,0.989,severe,1,1
AC-003,179,engine_hpc,0.0,1.0,severe,0,1
AC-004,1,engine_hpc,0.995,0.0,healthy,188,0
AC-004,2,engine_hpc,0.989,0.0,healthy,187,0
AC-004,3,engine_hpc,0.984,0.0,healthy,186,0
AC-004,4,engine_hpc,0.979,0.0,healthy,185,0
AC-004,5,engine_hpc,0.974,0.001,healthy,184,0
AC-004,6,engine_hpc,0.968,0.001,healthy,183,0
AC-004,7,engine_hpc,0.963,0.001,healthy,182,0
AC-004,8,engine_hpc,0.958,0.002,healthy,181,0
AC-004,9,engine_hpc,0.952,0.002,healthy,180,0
AC-004,10,engine_hpc,0.947,0.003,healthy,179,0
AC-004,11,engine_hpc,0.942,0.003,healthy,178,0
AC-004,12,engine_hpc,0.937,0.004,healthy,177,0
AC-004,13,engine_hpc,0.931,0.005,healthy,176,0
AC-004,14,engine_hpc,0.926,0.005,healthy,175,0
AC-004,15,engine_hpc,0.921,0.006,healthy,174,0
AC-004,16,engine_hpc,0.915,0.007,healthy,173,0
AC-004,17,engine_hpc,0.91,0.008,healthy,172,0
AC-004,18,engine_hpc,0.905,0.009,healthy,171,0
AC-004,19,engine_hpc,0.899,0.01,healthy,170,0
AC-004,20,engine_hpc,0.894,0.011,healthy,169,0
AC-004,21,engine_hpc,0.889,0.012,healthy,168,0
AC-004,22,engine_hpc,0.884,0.014,healthy,167,0
AC-004,23,engine_hpc,0.878,0.015,healthy,166,0
AC-004,24,engine_hpc,0.873,0.016,healthy,165,0
AC-004,25,engine_hpc,0.868,0.017,healthy,164,0
AC-004,26,engine_hpc,0.862,0.019,healthy,163,0
AC-004,27,engine_hpc,0.857,0.02,healthy,162,0
AC-004,28,engine_hpc,0.852,0.022,healthy,161,0
AC-004,29,engine_hpc,0.847,0.024,healthy,160,0
AC-004,30,engine_hpc,0.841,0.025,healthy,159,0
AC-004,31,engine_hpc,0.836,0.027,healthy,158,0
AC-004,32,engine_hpc,0.831,0.029,healthy,157,0
AC-004,33,engine_hpc,0.825,0.03,healthy,156,0
AC-004,34,engine_hpc,0.82,0.032,healthy,155,0
AC-004,35,engine_hpc,0.815,0.034,healthy,154,0
AC-004,36,engine_hpc,0.81,0.036,healthy,153,0
AC-004,37,engine_hpc,0.804,0.038,healthy,152,0
AC-004,38,engine_hpc,0.799,0.04,healthy,151,0
AC-004,39,engine_hpc,0.794,0.043,healthy,150,0
AC-004,40,engine_hpc,0.788,0.045,healthy,149,0
AC-004,41,engine_hpc,0.783,0.047,healthy,148,0
AC-004,42,engine_hpc,0.778,0.049,healthy,147,0
AC-004,43,engine_hpc,0.772,0.052,healthy,146,0
AC-004,44,engine_hpc,0.767,0.054,healthy,145,0
AC-004,45,engine_hpc,0.762,0.057,healthy,144,0
AC-004,46,engine_hpc,0.757,0.059,healthy,143,0
AC-004,47,engine_hpc,0.751,0.062,healthy,142,0
AC-004,48,engine_hpc,0.746,0.064,healthy,141,0
AC-004,49,engine_hpc,0.741,0.067,healthy,140,0
AC-004,50,engine_hpc,0.735,0.07,healthy,139,0
AC-004,51,engine_hpc,0.73,0.073,healthy,138,0
AC-004,52,engine_hpc,0.725,0.076,healthy,137,0
AC-004,53,engine_hpc,0.72,0.079,healthy,136,0
AC-004,54,engine_hpc,0.714,0.082,healthy,135,0
AC-004,55,engine_hpc,0.709,0.085,healthy,134,0
AC-004,56,engine_hpc,0.704,0.088,healthy,133,0
AC-004,57,engine_hpc,0.698,0.091,healthy,132,0
AC-004,58,engine_hpc,0.693,0.094,healthy,131,0
AC-004,59,engine_hpc,0.688,0.097,healthy,130,0
