asset_id,failure_cycle,component,failure_type,failure_label,source_dataset
AC-003,179,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-004,189,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-006,188,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-007,259,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-012,170,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-013,163,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-017,276,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-018,195,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-021,195,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-027,156,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-029,163,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-031,234,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-033,200,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-034,195,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-038,194,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-040,188,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-043,207,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-045,158,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-046,256,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-048,231,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-050,198,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-051,213,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-059,231,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-061,185,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-064,283,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-067,313,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-068,199,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-069,362,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-075,229,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-076,210,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-077,154,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-080,185,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-082,214,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-089,217,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-090,154,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-092,341,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-095,283,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
AC-097,202,engine_hpc,HPC_degradation,1,NASA C-MAPSS FD001 (train)
