mission_id,asset_id,mission_window_start,mission_window_end,mission_priority,required_readiness_threshold,data_origin
MSN-0001,AC-003,2026-10-31,2026-11-05,critical,0.85,synthetic
MSN-0002,AC-004,2026-10-09,2026-10-16,standard,0.7,synthetic
MSN-0003,AC-006,2026-11-20,2026-11-24,routine,0.5,synthetic
MSN-0004,AC-007,2026-10-07,2026-10-15,standard,0.7,synthetic
MSN-0005,AC-012,2026-12-15,2026-12-25,routine,0.5,synthetic
MSN-0006,AC-013,2026-09-28,2026-10-06,standard,0.7,synthetic
MSN-0007,AC-017,2026-11-25,2026-12-05,standard,0.7,synthetic
MSN-0008,AC-018,2027-01-02,2027-01-13,standard,0.7,synthetic
MSN-0009,AC-021,2026-12-13,2026-12-22,standard,0.7,synthetic
MSN-0010,AC-027,2026-10-23,2026-10-30,routine,0.5,synthetic
MSN-0011,AC-029,2026-11-21,2026-11-22,critical,0.85,synthetic
MSN-0012,AC-031,2026-09-21,2026-10-04,standard,0.7,synthetic
MSN-0013,AC-033,2026-09-14,2026-09-26,standard,0.7,synthetic
MSN-0014,AC-034,2026-11-08,2026-11-19,critical,0.85,synthetic
MSN-0015,AC-038,2026-09-20,2026-09-24,routine,0.5,synthetic
MSN-0016,AC-040,2026-11-13,2026-11-26,routine,0.5,synthetic
MSN-0017,AC-043,2026-11-16,2026-11-22,critical,0.85,synthetic
MSN-0018,AC-045,2026-11-09,2026-11-18,standard,0.7,synthetic
MSN-0019,AC-046,2026-11-08,2026-11-14,critical,0.85,synthetic
MSN-0020,AC-048,2027-01-04,2027-01-16,standard,0.7,synthetic
MSN-0021,AC-050,2026-11-14,2026-11-15,standard,0.7,synthetic
MSN-0022,AC-051,2026-10-18,2026-10-27,critical,0.85,synthetic
MSN-0023,AC-059,2026-11-26,2026-12-03,routine,0.5,synthetic
MSN-0024,AC-061,2026-09-18,2026-09-28,standard,0.7,synthetic
MSN-0025,AC-064,2026-12-10,2026-12-14,routine,0.5,synthetic
MSN-0026,AC-067,2026-11-20,2026-11-29,critical,0.85,synthetic
MSN-0027,AC-068,2026-12-06,2026-12-07,routine,0.5,synthetic
MSN-0028,AC-069,2026-09-15,2026-09-16,routine,0.5,synthetic
MSN-0029,AC-075,2026-09-30,2026-10-07,standard,0.7,synthetic
MSN-0030,AC-076,2026-10-15,2026-10-28,routine,0.5,synthetic
MSN-0031,AC-077,2026-12-15,2026-12-28,critical,0.85,synthetic
MSN-0032,AC-080,2026-11-24,2026-12-02,critical,0.85,synthetic
MSN-0033,AC-082,2026-09-24,2026-10-04,standard,0.7,synthetic
MSN-0034,AC-089,2026-10-19,2026-10-20,critical,0.85,synthetic
MSN-0035,AC-090,2026-11-14,2026-11-22,standard,0.7,synthetic
MSN-0036,AC-092,2026-10-07,2026-10-20,standard,0.7,synthetic
MSN-0037,AC-095,2026-12-19,2026-12-25,critical,0.85,synthetic
MSN-0038,AC-097,2026-12-23,2026-12-27,critical,0.85,synthetic
