asset_id,cycle,operational_setting_1,operational_setting_2,operational_setting_3,s2,s3,s4,s7,s8,s9,s11,s12,s14,s15,s17,s20,s21
AC-003,1,0.0008,0.0005,100.0,642.04,1584.2,1398.13,553.96,2388.06,9056.95,47.14,522.24,8138.4,8.4207,391,38.96,23.3205
AC-003,2,-0.001,0.0,100.0,642.66,1587.04,1398.62,554.76,2388.05,9059.67,47.35,522.03,8137.38,8.3949,390,39.07,23.4369
AC-003,3,0.0013,-0.0002,100.0,642.07,1580.75,1401.1,554.51,2388.03,9050.43,46.94,522.16,8137.2,8.382,393,39.03,23.3162
AC-003,4,0.0008,-0.0002,100.0,642.5,1580.12,1395.76,554.48,2388.07,9060.43,47.44,522.31,8139.35,8.394,391,38.94,23.4901
AC-003,5,0.002,0.0004,100.0,641.97,1581.48,1394.05,554.14,2388.01,9054.36,47.16,522.0,8135.99,8.4233,391,38.9,23.419
AC-003,6,-0.001,-0.0003,100.0,642.65,1581.26,1397.98,554.86,2388.08,9048.62,47.12,522.58,8137.99,8.4126,392,39.04,23.4656
AC-003,7,-0.0018,-0.0003,100.0,642.62,1583.68,1405.76,554.29,2388.06,9051.91,47.26,522.08,8141.85,8.4369,393,39.03,23.4051
AC-003,8,0.0017,-0.0005,100.0,642.23,1581.6,1401.86,554.11,2388.0,9059.59,47.13,521.87,8141.47,8.4197,392,38.85,23.3564
AC-003,9,0.0,0.0003,100.0,642.6,1581.04,1398.3,554.61,2387.99,9060.04,47.16,522.47,8136.84,8.4151,392,39.02,23.3873
AC-003,10,-0.0009,0.0003,100.0,642.72,1582.2,1400.07,554.28,2388.0,9053.42,47.22,522.4,8130.42,8.4063,392,38.96,23.3129
AC-003,11,-0.0009,0.0002,100.0,641.94,1591.43,1400.59,554.88,2388.03,9051.86,47.4,522.02,8138.08,8.4237,391,38.8,23.4161
AC-003,12,-0.0029,0.0003,100.0,642.61,1583.92,1404.93,553.45,2388.06,9049.23,47.17,522.07,8141.09,8.3779,393,38.9,23.3028
AC-003,13,0.0002,0.0003,100.0,642.63,1583.25,1403.52,555.25,2388.03,9057.09,47.25,522.26,8138.75,8.3743,390,39.16,23.3372
AC-003,14,0.0,0.0004,100.0,642.16,1591.03,1396.35,554.31,2388.02,9056.59,47.27,521.69,8141.57,8.4339,391,38.9,23.3506
AC-003,15,-0.0015,0.0001,100.0,641.83,1585.29,1398.77,554.36,2388.05,9058.29,47.15,522.0,8138.07,8.4311,390,39.02,23.2825
AC-003,16,-0.0064,-0.0002,100.0,642.65,1589.05,1392.15,554.17,2388.05,9051.12,47.26,522.25,8137.26,8.4147,391,38.94,23.4078
AC-003,17,-0.0018,-0.0001,100.0,642.78,1588.94,1395.76,553.74,2388.0,9051.79,47.35,522.37,8140.24,8.4018,393,39.13,23.4031
AC-003,18,-0.0013,-0.0005,100.0,642.26,1584.36,1402.3,554.52,2388.0,9055.82,47.38,521.8,8141.53,8.4244,390,39.0,23.3709
AC-003,19,0.0029,-0.0004,100.0,642.05,1580.67,1402.82,553.99,2388.03,9051.22,47.23,522.18,8144.32,8.413,391,39.12,23.4505
AC-003,20,-0.002,-0.0002,100.0,642.25,1580.73,1394.57,554.54,2388.06,9047.08,47.1,522.29,8135.13,8.398,391,38.93,23.3357
AC-003,21,-0.0006,0.0004,100.0,642.18,1586.78,1398.83,554.32,2388.02,9052.89,47.27,522.67,8138.16,8.4302,392,39.13,23.3923
AC-003,22,-0.0052,-0.0001,100.0,642.34,1589.55,1405.28,554.71,2388.06,9060.66,47.3,522.53,8141.91,8.432,392,39.09,23.4213
AC-003,23,-0.0004,-0.0002,100.0,642.07,1585.2,1395.59,554.04,2387.99,9058.17,47.12,522.22,8133.61,8.3839,392,38.94,23.3791
AC-003,24,-0.0038,-0.0002,100.0,642.24,1585.08,1395.73,554.65,2388.05,9047.82,47.26,521.66,8140.94,8.3768,391,38.81,23.3903
AC-003,25,-0.0005,-0.0004,100.0,642.24,1579.4,1390.93,554.21,2388.05,9055.08,47.17,522.15,8134.79,8.3845,391,38.9,23.4004
AC-003,26,-0.0023,-0.0005,100.0,641.61,1586.92,1401.63,553.9,2388.04,9047.81,47.28,521.93,8140.65,8.4062,391,39.01,23.2767
AC-003,27,0.001,0.0002,100.0,642.36,1581.83,1400.85,554.67,2388.03,9058.62,47.17,521.69,8138.31,8.4095,392,38.97,23.3769
AC-003,28,0.0001,-0.0,100.0,641.48,1590.59,1400.68,553.51,2388.04,9054.91,47.22,522.27,8131.13,8.3998,392,38.91,23.4092
AC-003,29,0.0038,0.0004,100.0,642.01,1584.71,1396.05,554.94,2388.03,9056.29,47.24,522.15,8135.88,8.4387,392,39.15,23.3378
AC-003,30,0.0012,0.0004,100.0,642.21,1584.95,1398.1,554.05,2388.01,9051.75,47.23,522.35,8140.32,8.3927,392,39.01,23.3824
AC-003,31,0.0039,0.0001,100.0,642.33,1588.68,1393.95,553.06,2388.04,9056.38,47.33,521.92,8143.37,8.393,391,38.98,23.3272
AC-003,32,0.0018,0.0002,100.0,642.55,1583.7,1400.58,554.32,2388.04,9052.73,47.3,522.11,8135.67,8.392,393,39.1,23.3545
AC-003,33,0.0004,0.0002,100.0,641.82,1583.55,1403.93,554.27,2388.0,9055.13,47.31,522.1,8134.74,8.4086,392,38.98,23.4537
AC-003,34,-0.0014,0.0005,100.0,642.83,1584.17,1397.47,554.42,2388.01,9058.0,47.2,522.34,8142.72,8.4035,393,39.0,23.3728
AC-003,35,-0.0013,0.0001,100.0,642.08,1584.57,1396.92,554.1,2388.04,9058.14,47.26,522.19,8136.27,8.3924,391,39.03,23.343
