IDENT,PROBLEM,TYPE,LOCATION,PART,TAGEDPROBLEM,ACTION,TYPE2,WITH,INSTALL_TYPE,ACTIONPART,TAGGEDACTION,CAUSE
100001,ENGINE IDLE OVERRIDE KILLED ENGINE.,DIFFICULT,,,,"TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.IDLE",,,,IDLE,ADJUST,
100002,ENGINE IDLE OVERRIDE KILLED ENGINE.,DIFFICULT,,,,REMOVED & REPLACED FUEL SERVO,,,,FUEL SERVO,REMOVED & REPLACED,
100004,HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE.,Ok,ENGINE,,CHOKE & LOSE POWER,PERFORMED ENGINE RUN UP FOUND CYLINDER 2 LOWER PLUG FOULED.,,,,ENGINE,RAN,FOUND CYLINDER 2 LOWER PLUG FOULED
100005,#2 & 4 CYLINDER ROCKER COVER GASKETS ARE LEAKING.,Ok,#2 & 4 CYLINDER,ROCKER COVER GASKET,LEAKING,REMOVED & REPLACED GASKETS.,,,,GASKET,REMOVED & REPLACED,
100006,ROCKER BOX COVER SCREWS LOOSE (ALL CYLINDER).,Ok,ALL CYLINDER,ROCKER BOX COVER SCREW,LOOSE,TIGHTENED SCREWS.,,,,SCREW,TIGHTENED,
100008,#3 INTAKE IS LEAKING.,Ok,#3,INTAKE,LEAKING,REMOVED & REPLACED GASKET.,,,,GASKET,REMOVED & REPLACED,
100009,#2 INTAKE IS LEAKING.,Ok,#2,INTAKE,LEAKING,REMOVED & REPLACED #2 INTAKE GASKET.,,,,INTAKE GASKET,REMOVED & REPLACED,
100010,#4 ROCKER COVER IS LEAKING.,Ok,#4,ROCKER COVER,LEAKING,REMOVED & REPLACED #4 ROCKER COVER GASKET.,,,,ROCKER COVER GASKET,REMOVED & REPLACED,
100012,L/H REAR ENGINE BAFFLE CRACKED.,Ok,L/H REAR ENGINE,BAFFLE,CRACKED,STOP DRILLED CRACK.,,,,DRILLED CRACK,STOP,
100014,#1 2 & 3 ROCKER BOX COVER GASKETS LEAKING.,Ok,#1 2 & 3,ROCKER BOX COVER GASKET,LEAKING,INSTALLED NEW ROCKER BOX COVER GASKETS.,,,NEW,ROCKER BOX COVER GASKET,INSTALLED,
100017,ROCKER BOX COVER SCREWS LOOSE.,Ok,,ROCKER BOX COVER SCREW,LOOSE,TIGHTENED SCREWS.,,,,SCREW,TIGHTENED,
100018,#1 ENGINE BAFFLE CRACKED.,Ok,#1 ENGINE,BAFFLE,CRACKED,FABRICATED PATCH OF LIKE MATERIAL & RIVETED IAW,,,,PATCH,FABRICATED & RIVETED,
100020,ROCKER COVER FOR CYLINDER #1 IS LEAKING.,Ok,CYLINDER #1,ROCKER COVER,LEAKING,REPLACED ROCKER COVER.,,,,ROCKER COVER,REPLACED,
